user_id,index,termo,simplificado,useful
1,0,Hipertensão Arterial Sistêmica,"Pressão alta constante, mesmo com cuidados básicos.",True
1,0,Hipertensão Arterial Sistêmica,"Pressão alta constante, mesmo com cuidados básicos.",True
2,3,Enalapril,Medicamento para pressão alta e coração fraco.,False
1,0,Hipertensão Arterial Sistêmica,"Pressão alta constante, mesmo com cuidados básicos.",True
5,0,Hipertensão Arterial Sistêmica,"Pressão alta constante, mesmo com cuidados básicos.",True
1,19,Hipoxemia,Oxigênio baixo no sangue.,False
1,0,Hipertensão Arterial Sistêmica,"Pressão alta constante, mesmo com cuidados básicos.",True
1,0,Hipertensão Arterial Sistêmica,"Pressão alta constante, mesmo com cuidados básicos.",True
4,0,Hipertensão Arterial Sistêmica,"Pressão alta constante, mesmo com cuidados básicos.",True
8,0,Hipertensão Arterial Sistêmica,"Pressão alta constante, mesmo com cuidados básicos.",False
7,0,Hipertensão Arterial Sistêmica,"Pressão alta constante, mesmo com cuidados básicos.",False
10,0,Hipertensão Arterial Sistêmica,"Pressão alta constante, mesmo com cuidados básicos.",False
1,0,Hipertensão Arterial Sistêmica,"Pressão alta constante, mesmo com cuidados básicos.",True
