termo,tecnico,simplificado,fonte
Hipertensão Arterial Sistêmica,O paciente apresenta Hipertensão Arterial Sistêmica com níveis pressóricos persistentemente elevados apesar de medidas não farmacológicas.,"Pressão alta constante, mesmo com cuidados básicos.",Fiocruz – Manual de Hipertensão
Losartana Potássica,Losartana Potássica foi prescrita para o tratamento da hipertensão e para redução de eventos cardiovasculares em pacientes com hipertrofia ventricular esquerda.,Remédio para controlar pressão alta e proteger o coração.,ANVISA – Bula do Paciente (Losartana)
Hidroclorotiazida,Hidroclorotiazida é utilizada como diurético tiazídico no manejo da hipertensão e do edema.,Diurético que ajuda a eliminar líquido e baixar a pressão.,ANVISA – Bula do Paciente (Hidroclorotiazida)
Enalapril,"Enalapril, um inibidor da ECA, é indicado para insuficiência cardíaca e hipertensão arterial.",Medicamento para pressão alta e coração fraco.,ANVISA – Bula do Paciente (Enalapril)
Atenolol,"Atenolol atua como betabloqueador, reduzindo a frequência cardíaca e a pressão arterial.",Remédio que diminui batimentos e pressão.,ANVISA – Bula do Paciente (Atenolol)
Ácido Acetilsalicílico (AAS),Ácido Acetilsalicílico em baixa dose é utilizado como antiagregante plaquetário na prevenção de eventos cardiovasculares.,AAS em dose baixa ajuda a prevenir derrame e infarto.,ANVISA – Bula do Paciente (AAS)
Clopidogrel,Clopidogrel é indicado para reduzir o risco de eventos aterotrombóticos em pacientes com síndrome coronariana aguda.,Remédio que evita coágulos em pessoas com problema no coração.,ANVISA – Bula do Paciente (Clopidogrel)
Insuficiência Cardíaca,"Ecodopplercardiograma demonstra fração de ejeção reduzida, compatível com Insuficiência Cardíaca com fração de ejeção reduzida.",O coração está fraco e bombeia menos sangue.,SUS – Diretrizes de Insuficiência Cardíaca
Taquicardia Sinusal,Eletrocardiograma evidencia Taquicardia Sinusal com frequência cardíaca de 110 bpm em repouso.,Coração batendo acelerado mesmo parado.,Hospital Albert Einstein – Guia ECG
Bradicardia,"Paciente com Bradicardia assintomática, FC média de 48 bpm, sem bloqueios de condução.","Coração batendo mais devagar que o normal, mas sem sintomas.",Hospital Sírio‑Libanês – Cardiologia
Fibrilação Atrial,"Traçado eletrocardiográfico compatível com Fibrilação Atrial, ritmo irregular e ausência de ondas P.","Ritmo do coração irregular, aumentando risco de coágulos.",SBC – Sociedade Brasileira de Cardiologia
Hipertrofia Ventricular Esquerda,Sinais eletrocardiográficos e ecocardiográficos de Hipertrofia Ventricular Esquerda.,Parede do coração (lado esquerdo) está mais grossa que o normal.,SBC – Diretrizes ECG
Angina Estável,"Dor torácica típica aos esforços, aliviada com repouso e nitrato, sugestiva de Angina Estável.",Dor no peito ao fazer esforço que melhora quando descansa.,SUS – Protocolo de Dor Torácica
Infarto Agudo do Miocárdio,"Marcadores de necrose miocárdica elevados e alterações isquêmicas no ECG, compatíveis com Infarto Agudo do Miocárdio.","Ataque do coração, com parte do músculo sofrendo por falta de sangue.",SUS – Linha de Cuidado IAM
Dispneia,"Paciente refere Dispneia aos esforços, com saturação de O2 em 92% ao ar ambiente.",Falta de ar ao fazer esforço.,SUS – Acolhimento em Urgência Respiratória
Asma,Quadro de Asma com sibilância à ausculta e resposta a broncodilatador inalatória.,Crises de chiado no peito que melhoram com bombinha.,SUS – Protocolo de Asma
DPOC,Histórico de tabagismo importante e espirometria compatível com DPOC moderada.,"Doença do pulmão em quem fumou por muito tempo, com falta de ar.",SUS – Protocolo de DPOC
Bronquite Crônica,"Tosse produtiva por mais de 3 meses em 2 anos consecutivos, sugerindo Bronquite Crônica.",Tosse com catarro que volta todos os anos por muito tempo.,Fiocruz – Doenças Respiratórias
Pneumonia,"Radiografia de tórax com consolidação no lobo inferior direito, compatível com Pneumonia adquirida na comunidade.",Infecção no pulmão confirmada no raio‑X.,SUS – Protocolo Pneumonia
Hipoxemia,Paciente em Hipoxemia com PaO2 reduzida em gasometria arterial.,Oxigênio baixo no sangue.,SUS – Atenção às Urgências
Espirometria,Espirometria demonstra padrão obstrutivo com VEF1/CVF reduzido.,Exame do sopro mostra passagem de ar mais difícil.,SUS – Manual de Espirometria
Cefaleia Tensional Crônica,"Exame clínico compatível com Cefaleia Tensional Crônica, sem sinais de alarme neurológico.","Dor de cabeça frequente causada por tensão, sem sinais graves.",Fiocruz – Cefaleias
